True === True | 	1	2	0	0	0
all_strip(x) = x <== all_strip(y) = x | 	67	4	2	3	0
all_strip(x) = y ==> all_strip(y) = y | 	67	4	2	3	0
all_strip(x) = x ==> left_strip(x) = x | 	20	4	1	2	0
all_strip(x) = y ==> left_strip(y) = y | 	52	4	2	3	0
left_strip(x) = x <== left_strip(y) = x | 	59	4	2	3	0
left_strip(x) = y ==> left_strip(y) = y | 	59	4	2	3	0
reverse(x) = y === reverse(y) = x | 	63	4	2	4	0
all_strip(x) = x ==> right_strip(x) = x | 	20	4	1	2	0
all_strip(x) = y ==> right_strip(y) = y | 	54	4	2	3	0
right_strip(x) = x <== right_strip(y) = x | 	69	4	2	3	0
right_strip(x) = y ==> right_strip(y) = y | 	69	4	2	3	0
to_caps(x) = x <== to_caps(y) = x | 	34	4	2	3	0
to_caps(x) = y ==> to_caps(y) = y | 	34	4	2	3	0
to_lower(x) = x <== to_lower(y) = x | 	49	4	2	3	0
to_lower(x) = y ==> to_lower(y) = y | 	49	4	2	3	0
all_strip(x) = x === all_strip(all_strip(x)) = x | 	33	5	1	2	0
all_strip(x) = x <== all_strip(all_strip(y)) = x | 	67	5	2	3	0
all_strip(x) = y === all_strip(all_strip(x)) = y | 	67	5	2	4	0
all_strip(x) = x === all_strip(left_strip(x)) = x | 	20	5	1	2	0
all_strip(x) = x <== all_strip(left_strip(y)) = x | 	47	5	2	3	0
all_strip(x) = y === all_strip(left_strip(x)) = y | 	39	5	2	4	0
all_strip(x) = x <== all_strip(reverse(x)) = x | 	12	5	1	2	0
all_strip(x) = x <== all_strip(reverse(y)) = x | 	48	5	2	3	0
left_strip(x) = x <== all_strip(reverse(x)) = x | 	9	5	1	2	0
left_strip(x) = x <== all_strip(reverse(y)) = x | 	41	5	2	3	0
reverse(x) = x <== all_strip(reverse(x)) = x | 	12	5	1	2	0
right_strip(x) = x <== all_strip(reverse(x)) = x | 	10	5	1	2	0
right_strip(x) = x <== all_strip(reverse(y)) = x | 	42	5	2	3	0
all_strip(x) = x === all_strip(right_strip(x)) = x | 	20	5	1	2	0
all_strip(x) = x <== all_strip(right_strip(y)) = x | 	53	5	2	3	0
all_strip(x) = y === all_strip(right_strip(x)) = y | 	44	5	2	4	0
all_strip(x) = x <== all_strip(to_caps(x)) = x | 	4	5	1	2	0
all_strip(x) = x <== all_strip(to_caps(y)) = x | 	59	5	2	3	0
left_strip(x) = x <== all_strip(to_caps(x)) = x | 	4	5	1	2	0
left_strip(x) = x <== all_strip(to_caps(y)) = x | 	39	5	2	3	0
right_strip(x) = x <== all_strip(to_caps(x)) = x | 	4	5	1	2	0
right_strip(x) = x <== all_strip(to_caps(y)) = x | 	58	5	2	3	0
to_caps(x) = x <== all_strip(to_caps(x)) = x | 	4	5	1	2	0
to_caps(x) = x <== all_strip(to_caps(y)) = x | 	28	5	2	3	0
all_strip(to_caps(x)) = x <== all_strip(to_caps(y)) = x | 	28	6	2	3	0
all_strip(to_caps(x)) = y ==> all_strip(to_caps(y)) = y | 	28	6	2	3	0
all_strip(x) = x <== all_strip(to_lower(x)) = x | 	6	5	1	2	0
all_strip(x) = x <== all_strip(to_lower(y)) = x | 	41	5	2	3	0
left_strip(x) = x <== all_strip(to_lower(x)) = x | 	5	5	1	2	0
left_strip(x) = x <== all_strip(to_lower(y)) = x | 	36	5	2	3	0
right_strip(x) = x <== all_strip(to_lower(x)) = x | 	4	5	1	2	0
