True === True | 	1	2	0	0	0
all_strip(x) = x <== all_strip(y) = x | 	82	4	2	3	0
all_strip(x) = y ==> all_strip(y) = y | 	82	4	2	3	0
all_strip(x) = x ==> left_strip(x) = x | 	28	4	1	2	0
all_strip(x) = y ==> left_strip(y) = y | 	74	4	2	3	0
left_strip(x) = x <== left_strip(y) = x | 	80	4	2	3	0
left_strip(x) = y ==> left_strip(y) = y | 	80	4	2	3	0
reverse(x) = y === reverse(y) = x | 	63	4	2	4	0
all_strip(x) = x ==> right_strip(x) = x | 	25	4	1	2	0
all_strip(x) = y ==> right_strip(y) = y | 	71	4	2	3	0
right_strip(x) = x <== right_strip(y) = x | 	86	4	2	3	0
right_strip(x) = y ==> right_strip(y) = y | 	86	4	2	3	0
to_caps(x) = x <== to_caps(y) = x | 	62	4	2	3	0
to_caps(x) = y ==> to_caps(y) = y | 	62	4	2	3	0
to_lower(x) = x <== to_lower(y) = x | 	57	4	2	3	0
to_lower(x) = y ==> to_lower(y) = y | 	57	4	2	3	0
all_strip(x) = x === all_strip(all_strip(x)) = x | 	37	5	1	2	0
all_strip(x) = x <== all_strip(all_strip(y)) = x | 	82	5	2	3	0
all_strip(x) = y === all_strip(all_strip(x)) = y | 	82	5	2	4	0
all_strip(x) = x === all_strip(left_strip(x)) = x | 	28	5	1	2	0
all_strip(x) = x <== all_strip(left_strip(y)) = x | 	65	5	2	3	0
all_strip(x) = y === all_strip(left_strip(x)) = y | 	59	5	2	4	0
all_strip(x) = x <== all_strip(reverse(x)) = x | 	11	5	1	2	0
all_strip(x) = x <== all_strip(reverse(y)) = x | 	61	5	2	3	0
left_strip(x) = x <== all_strip(reverse(x)) = x | 	11	5	1	2	0
left_strip(x) = x <== all_strip(reverse(y)) = x | 	57	5	2	3	0
reverse(x) = x <== all_strip(reverse(x)) = x | 	11	5	1	2	0
right_strip(x) = x <== all_strip(reverse(x)) = x | 	9	5	1	2	0
right_strip(x) = x <== all_strip(reverse(y)) = x | 	53	5	2	3	0
all_strip(x) = x === all_strip(right_strip(x)) = x | 	25	5	1	2	0
all_strip(x) = x <== all_strip(right_strip(y)) = x | 	68	5	2	3	0
all_strip(x) = y === all_strip(right_strip(x)) = y | 	61	5	2	4	0
all_strip(x) = x <== all_strip(to_caps(x)) = x | 	4	5	1	2	0
all_strip(x) = x <== all_strip(to_caps(y)) = x | 	60	5	2	3	0
left_strip(x) = x <== all_strip(to_caps(x)) = x | 	4	5	1	2	0
left_strip(x) = x <== all_strip(to_caps(y)) = x | 	57	5	2	3	0
reverse(x) = x <== all_strip(to_caps(x)) = x | 	4	5	1	2	0
right_strip(x) = x <== all_strip(to_caps(x)) = x | 	4	5	1	2	0
right_strip(x) = x <== all_strip(to_caps(y)) = x | 	57	5	2	3	0
to_caps(x) = x <== all_strip(to_caps(x)) = x | 	4	5	1	2	0
to_caps(x) = x <== all_strip(to_caps(y)) = x | 	51	5	2	3	0
all_strip(reverse(x)) = x <== all_strip(to_caps(x)) = x | 	4	6	1	2	0
