True === True | 	1	2	0	0	0
all_strip(x) = x <== all_strip(y) = x | 	73	4	2	3	0
all_strip(x) = y ==> all_strip(y) = y | 	73	4	2	3	0
all_strip(x) = x ==> left_strip(x) = x | 	22	4	1	2	0
all_strip(x) = y ==> left_strip(y) = y | 	65	4	2	3	0
left_strip(x) = x <== left_strip(y) = x | 	84	4	2	3	0
left_strip(x) = y ==> left_strip(y) = y | 	84	4	2	3	0
reverse(x) = y === reverse(y) = x | 	64	4	2	4	0
all_strip(x) = x ==> right_strip(x) = x | 	23	4	1	2	0
all_strip(x) = y ==> right_strip(y) = y | 	66	4	2	3	0
right_strip(x) = x <== right_strip(y) = x | 	80	4	2	3	0
right_strip(x) = y ==> right_strip(y) = y | 	80	4	2	3	0
to_caps(x) = x <== to_caps(y) = x | 	58	4	2	3	0
to_caps(x) = y ==> to_caps(y) = y | 	58	4	2	3	0
to_lower(x) = x <== to_lower(y) = x | 	62	4	2	3	0
to_lower(x) = y ==> to_lower(y) = y | 	62	4	2	3	0
all_strip(x) = x === all_strip(all_strip(x)) = x | 	31	5	1	2	0
all_strip(x) = x <== all_strip(all_strip(y)) = x | 	73	5	2	3	0
all_strip(x) = y === all_strip(all_strip(x)) = y | 	73	5	2	4	0
all_strip(x) = x === all_strip(left_strip(x)) = x | 	22	5	1	2	0
all_strip(x) = x <== all_strip(left_strip(y)) = x | 	60	5	2	3	0
all_strip(x) = y === all_strip(left_strip(x)) = y | 	57	5	2	4	0
all_strip(x) = x <== all_strip(reverse(x)) = x | 	9	5	1	2	0
all_strip(x) = x <== all_strip(reverse(y)) = x | 	53	5	2	3	0
left_strip(x) = x <== all_strip(reverse(x)) = x | 	8	5	1	2	0
left_strip(x) = x <== all_strip(reverse(y)) = x | 	47	5	2	3	0
reverse(x) = x <== all_strip(reverse(x)) = x | 	9	5	1	2	0
right_strip(x) = x <== all_strip(reverse(x)) = x | 	9	5	1	2	0
right_strip(x) = x <== all_strip(reverse(y)) = x | 	48	5	2	3	0
all_strip(x) = x === all_strip(right_strip(x)) = x | 	23	5	1	2	0
all_strip(x) = x <== all_strip(right_strip(y)) = x | 	58	5	2	3	0
all_strip(x) = y === all_strip(right_strip(x)) = y | 	54	5	2	4	0
all_strip(x) = x <== all_strip(to_caps(x)) = x | 	4	5	1	2	0
all_strip(x) = x <== all_strip(to_caps(y)) = x | 	40	5	2	3	0
left_strip(x) = x <== all_strip(to_caps(x)) = x | 	4	5	1	2	0
left_strip(x) = x <== all_strip(to_caps(y)) = x | 	38	5	2	3	0
reverse(x) = x <== all_strip(to_caps(x)) = x | 	4	5	1	2	0
reverse(x) = x <== all_strip(to_caps(y)) = x | 	38	5	2	3	0
right_strip(x) = x <== all_strip(to_caps(x)) = x | 	4	5	1	2	0
right_strip(x) = x <== all_strip(to_caps(y)) = x | 	39	5	2	3	0
to_caps(x) = x <== all_strip(to_caps(x)) = x | 	4	5	1	2	0
to_caps(x) = x <== all_strip(to_caps(y)) = x | 	38	5	2	3	0
all_strip(reverse(x)) = x <== all_strip(to_caps(x)) = x | 	4	6	1	2	0
all_strip(reverse(x)) = x <== all_strip(to_caps(y)) = x | 	35	6	2	3	0
all_strip(to_caps(x)) = x <== all_strip(to_caps(y)) = x | 	35	6	2	3	0
all_strip(to_caps(x)) = y ==> all_strip(to_caps(y)) = y | 	35	6	2	3	0
